DATE,TICKER,rate,CPct_Chg
1955-06-30,DTB3,1.47,5.833333333333333e-05
1955-07-01,DTB3,1.46,5.793650793650794e-05
1955-07-04,DTB3,,
1955-07-05,DTB3,1.48,5.873015873015873e-05
1955-07-06,DTB3,1.53,6.071428571428572e-05
1955-07-07,DTB3,1.52,6.0317460317460316e-05
1955-07-08,DTB3,1.51,5.992063492063492e-05
1955-07-11,DTB3,1.55,6.150793650793651e-05
1955-07-12,DTB3,1.55,6.150793650793651e-05
1955-07-13,DTB3,1.6,6.349206349206349e-05
1955-07-14,DTB3,1.57,6.230158730158731e-05
1955-07-15,DTB3,1.57,6.230158730158731e-05
1955-07-18,DTB3,1.55,6.150793650793651e-05
1955-07-19,DTB3,1.55,6.150793650793651e-05
1955-07-20,DTB3,1.64,6.507936507936507e-05
1955-07-21,DTB3,1.66,6.587301587301587e-05
1955-07-22,DTB3,1.66,6.587301587301587e-05
1955-07-25,DTB3,1.68,6.666666666666666e-05
1955-07-26,DTB3,1.68,6.666666666666666e-05
1955-07-27,DTB3,1.72,6.825396825396825e-05
1955-07-28,DTB3,1.73,6.865079365079365e-05
1955-07-29,DTB3,1.75,6.944444444444444e-05
1955-08-01,DTB3,1.83,7.261904761904762e-05
1955-08-02,DTB3,1.86,7.380952380952382e-05
1955-08-03,DTB3,1.9,7.53968253968254e-05
1955-08-04,DTB3,1.91,7.579365079365079e-05
1955-08-05,DTB3,1.89,7.500000000000001e-05
1955-08-08,DTB3,1.88,7.460317460317459e-05
1955-08-09,DTB3,1.88,7.460317460317459e-05
1955-08-10,DTB3,1.89,7.500000000000001e-05
1955-08-11,DTB3,1.87,7.420634920634921e-05
1955-08-12,DTB3,1.84,7.301587301587302e-05
1955-08-15,DTB3,1.86,7.380952380952382e-05
1955-08-16,DTB3,1.86,7.380952380952382e-05
1955-08-17,DTB3,1.88,7.460317460317459e-05
1955-08-18,DTB3,1.82,7.222222222222223e-05
1955-08-19,DTB3,1.8,7.142857142857143e-05
1955-08-22,DTB3,1.84,7.301587301587302e-05
1955-08-23,DTB3,1.86,7.380952380952382e-05
1955-08-24,DTB3,1.92,7.619047619047618e-05
1955-08-25,DTB3,1.93,7.658730158730158e-05
1955-08-26,DTB3,1.95,7.738095238095238e-05
1955-08-29,DTB3,2.04,8.095238095238096e-05
1955-08-30,DTB3,2.07,8.214285714285714e-05
1955-08-31,DTB3,2.09,8.293650793650792e-05
1955-09-01,DTB3,2.1,8.333333333333334e-05
1955-09-02,DTB3,2.09,8.293650793650792e-05
1955-09-05,DTB3,,
1955-09-06,DTB3,2.09,8.293650793650792e-05
1955-09-07,DTB3,2.11,8.373015873015872e-05
1955-09-08,DTB3,2.1,8.333333333333334e-05
1955-09-09,DTB3,2.11,8.373015873015872e-05
1955-09-12,DTB3,2.09,8.293650793650792e-05
1955-09-13,DTB3,2.08,8.253968253968253e-05
1955-09-14,DTB3,2.06,8.174603174603175e-05
1955-09-15,DTB3,2.04,8.095238095238096e-05
1955-09-16,DTB3,2.02,8.015873015873015e-05
1955-09-19,DTB3,1.98,7.857142857142857e-05
1955-09-20,DTB3,1.96,7.777777777777778e-05
1955-09-21,DTB3,1.98,7.857142857142857e-05
1955-09-22,DTB3,2.01,7.976190476190474e-05
1955-09-23,DTB3,2.04,8.095238095238096e-05
1955-09-26,DTB3,2.08,8.253968253968253e-05
1955-09-27,DTB3,2.08,8.253968253968253e-05
1955-09-28,DTB3,2.12,8.412698412698413e-05
1955-09-29,DTB3,2.12,8.412698412698413e-05
1955-09-30,DTB3,2.15,8.53174603174603e-05
1955-10-03,DTB3,2.18,8.650793650793651e-05
1955-10-04,DTB3,2.2,8.730158730158731e-05
1955-10-05,DTB3,2.23,8.849206349206349e-05
1955-10-06,DTB3,2.22,8.80952380952381e-05
1955-10-07,DTB3,2.22,8.80952380952381e-05
1955-10-10,DTB3,2.23,8.849206349206349e-05
1955-10-11,DTB3,2.24,8.88888888888889e-05
1955-10-12,DTB3,,
1955-10-13,DTB3,2.27,9.007936507936508e-05
1955-10-14,DTB3,2.3,9.126984126984126e-05
1955-10-17,DTB3,2.29,9.087301587301587e-05
1955-10-18,DTB3,2.27,9.007936507936508e-05
1955-10-19,DTB3,2.27,9.007936507936508e-05
1955-10-20,DTB3,2.23,8.849206349206349e-05
1955-10-21,DTB3,2.21,8.769841269841269e-05
1955-10-24,DTB3,2.21,8.769841269841269e-05
1955-10-25,DTB3,2.2,8.730158730158731e-05
1955-10-26,DTB3,2.23,8.849206349206349e-05
1955-10-27,DTB3,2.22,8.80952380952381e-05
1955-10-28,DTB3,2.19,8.69047619047619e-05
1955-10-31,DTB3,2.15,8.53174603174603e-05
1955-11-01,DTB3,2.1,8.333333333333334e-05
1955-11-02,DTB3,2.06,8.174603174603175e-05
1955-11-03,DTB3,2.01,7.976190476190474e-05
1955-11-04,DTB3,1.96,7.777777777777778e-05
1955-11-07,DTB3,2.0,7.936507936507937e-05
1955-11-08,DTB3,2.0,7.936507936507937e-05
1955-11-09,DTB3,2.08,8.253968253968253e-05
1955-11-10,DTB3,2.12,8.412698412698413e-05
1955-11-11,DTB3,,
1955-11-14,DTB3,2.2,8.730158730158731e-05
1955-11-15,DTB3,2.3,9.126984126984126e-05
1955-11-16,DTB3,2.34,9.285714285714285e-05
1955-11-17,DTB3,2.27,9.007936507936508e-05
1955-11-18,DTB3,2.35,9.325396825396825e-05
1955-11-21,DTB3,2.4,9.523809523809524e-05
1955-11-22,DTB3,2.38,9.444444444444444e-05
1955-11-23,DTB3,2.44,9.682539682539682e-05
1955-11-24,DTB3,,
1955-11-25,DTB3,2.42,9.603174603174603e-05
1955-11-28,DTB3,2.42,9.603174603174603e-05
1955-11-29,DTB3,2.42,9.603174603174603e-05
1955-11-30,DTB3,2.44,9.682539682539682e-05
1955-12-01,DTB3,2.42,9.603174603174603e-05
1955-12-02,DTB3,2.36,9.365079365079364e-05
1955-12-05,DTB3,2.4,9.523809523809524e-05
1955-12-06,DTB3,2.45,9.722222222222223e-05
1955-12-07,DTB3,2.51,9.96031746031746e-05
1955-12-08,DTB3,2.5,9.92063492063492e-05
1955-12-09,DTB3,2.52,0.0001
1955-12-12,DTB3,2.52,0.0001
1955-12-13,DTB3,2.52,0.0001
1955-12-14,DTB3,2.57,0.00010198412698412697
1955-12-15,DTB3,2.56,0.00010158730158730159
1955-12-16,DTB3,2.55,0.00010119047619047618
1955-12-19,DTB3,2.58,0.00010238095238095239
